"source","target","vol","no","timeset"
"1","2","1","1","1979-10-25T00:00:00"
"3","4","1","1","1979-10-25T00:00:00"
"5","6","1","1","1979-10-25T00:00:00"
"7","8","1","1","1979-10-25T00:00:00"
"9","10","1","1","1979-10-25T00:00:00"
"11","12","1","1","1979-10-25T00:00:00"
"13","14","1","1","1979-10-25T00:00:00"
"15","16","1","1","1979-10-25T00:00:00"
"17","18","1","1","1979-10-25T00:00:00"
"19","20","1","1","1979-10-25T00:00:00"
"21","22","1","2","1979-11-08T00:00:00"
"23","24","1","2","1979-11-08T00:00:00"
"25","26","1","2","1979-11-08T00:00:00"
"27","28","1","2","1979-11-08T00:00:00"
"29","30","1","2","1979-11-08T00:00:00"
"29","31","1","2","1979-11-08T00:00:00"
"29","32","1","2","1979-11-08T00:00:00"
"29","33","1","2","1979-11-08T00:00:00"
"34","35","1","2","1979-11-08T00:00:00"
"36","37","1","2","1979-11-08T00:00:00"
"38","39","1","2","1979-11-08T00:00:00"
"38","40","1","2","1979-11-08T00:00:00"
"41","42","1","2","1979-11-08T00:00:00"
"43","44","1","2","1979-11-08T00:00:00"
"45","46","1","2","1979-11-08T00:00:00"
"45","47","1","2","1979-11-08T00:00:00"
"45","48","1","2","1979-11-08T00:00:00"
"45","49","1","2","1979-11-08T00:00:00"
"50","51","1","2","1979-11-08T00:00:00"
"52","53","1","3","1979-11-22T00:00:00"
"54","55","1","3","1979-11-22T00:00:00"
"56","57","1","3","1979-11-22T00:00:00"
"58","59","1","3","1979-11-22T00:00:00"
"60","61","1","3","1979-11-22T00:00:00"
"62","63","1","3","1979-11-22T00:00:00"
"64","65","1","3","1979-11-22T00:00:00"
"66","67","1","3","1979-11-22T00:00:00"
"68","69","1","3","1979-11-22T00:00:00"
"70","49","1","3","1979-11-22T00:00:00"
"71","72","1","3","1979-11-22T00:00:00"
"71","73","1","3","1979-11-22T00:00:00"
"71","74","1","3","1979-11-22T00:00:00"
"71","75","1","3","1979-11-22T00:00:00"
"76","77","1","4","1979-12-06T00:00:00"
"7","78","1","4","1979-12-06T00:00:00"
"7","79","1","4","1979-12-06T00:00:00"
"52","80","1","4","1979-12-06T00:00:00"
"81","82","1","4","1979-12-06T00:00:00"
"83","84","1","4","1979-12-06T00:00:00"
"85","86","1","4","1979-12-06T00:00:00"
"21","87","1","4","1979-12-06T00:00:00"
"23","88","1","4","1979-12-06T00:00:00"
"89","90","1","4","1979-12-06T00:00:00"
"91","92","1","4","1979-12-06T00:00:00"
"91","93","1","4","1979-12-06T00:00:00"
"91","94","1","4","1979-12-06T00:00:00"
"95","96","1","4","1979-12-06T00:00:00"
"97","98","1","4","1979-12-06T00:00:00"
"97","99","1","4","1979-12-06T00:00:00"
"97","100","1","4","1979-12-06T00:00:00"
"97","23","1","4","1979-12-06T00:00:00"
"97","101","1","4","1979-12-06T00:00:00"
"102","103","1","5","1979-12-20T00:00:00"
"104","105","1","5","1979-12-20T00:00:00"
"106","107","1","5","1979-12-20T00:00:00"
"106","108","1","5","1979-12-20T00:00:00"
"109","110","1","5","1979-12-20T00:00:00"
"111","112","1","5","1979-12-20T00:00:00"
"113","114","1","5","1979-12-20T00:00:00"
"115","116","1","5","1979-12-20T00:00:00"
"117","118","1","5","1979-12-20T00:00:00"
"119","120","1","5","1979-12-20T00:00:00"
"36","121","1","5","1979-12-20T00:00:00"
"36","122","1","5","1979-12-20T00:00:00"
"36","123","1","5","1979-12-20T00:00:00"
"36","124","1","5","1979-12-20T00:00:00"
"125","126","1","5","1979-12-20T00:00:00"
"76","127","1","5","1979-12-20T00:00:00"
"76","128","1","5","1979-12-20T00:00:00"
"5","7","2","1","1980-01-24T00:00:00"
"129","130","2","1","1980-01-24T00:00:00"
"131","132","2","1","1980-01-24T00:00:00"
"105","133","2","1","1980-01-24T00:00:00"
"86","134","2","1","1980-01-24T00:00:00"
"7","135","2","1","1980-01-24T00:00:00"
"7","136","2","1","1980-01-24T00:00:00"
"7","137","2","1","1980-01-24T00:00:00"
"13","138","2","1","1980-01-24T00:00:00"
"38","139","2","1","1980-01-24T00:00:00"
"54","140","2","1","1980-01-24T00:00:00"
"141","142","2","1","1980-01-24T00:00:00"
"141","143","2","1","1980-01-24T00:00:00"
"144","145","2","1","1980-01-24T00:00:00"
"144","146","2","1","1980-01-24T00:00:00"
"56","147","2","1","1980-01-24T00:00:00"
"71","148","2","1","1980-01-24T00:00:00"
"71","149","2","1","1980-01-24T00:00:00"
"71","150","2","1","1980-01-24T00:00:00"
"71","151","2","1","1980-01-24T00:00:00"
"99","152","2","1","1980-01-24T00:00:00"
"99","153","2","1","1980-01-24T00:00:00"
"99","154","2","1","1980-01-24T00:00:00"
"99","155","2","1","1980-01-24T00:00:00"
"156","157","2","1","1980-01-24T00:00:00"
"158","159","2","1","1980-01-24T00:00:00"
"160","161","2","1","1980-01-24T00:00:00"
"160","162","2","1","1980-01-24T00:00:00"
"163","164","2","1","1980-01-24T00:00:00"
"163","165","2","1","1980-01-24T00:00:00"
"163","166","2","1","1980-01-24T00:00:00"
"167","168","2","1","1980-01-24T00:00:00"
"7","169","2","2","1980-02-07T00:00:00"
"170","171","2","2","1980-02-07T00:00:00"
"17","172","2","2","1980-02-07T00:00:00"
"173","174","2","2","1980-02-07T00:00:00"
"175","176","2","2","1980-02-07T00:00:00"
"34","177","2","2","1980-02-07T00:00:00"
"178","179","2","2","1980-02-07T00:00:00"
"178","180","2","2","1980-02-07T00:00:00"
"178","181","2","2","1980-02-07T00:00:00"
"178","182","2","2","1980-02-07T00:00:00"
"89","183","2","2","1980-02-07T00:00:00"
"184","185","2","2","1980-02-07T00:00:00"
"186","187","2","2","1980-02-07T00:00:00"
"188","189","2","2","1980-02-07T00:00:00"
"190","191","2","2","1980-02-07T00:00:00"
"190","192","2","2","1980-02-07T00:00:00"
"190","193","2","2","1980-02-07T00:00:00"
"194","195","2","2","1980-02-07T00:00:00"
"194","196","2","2","1980-02-07T00:00:00"
"197","198","2","2","1980-02-07T00:00:00"
"199","200","2","2","1980-02-07T00:00:00"
"95","201","2","2","1980-02-07T00:00:00"
"95","202","2","2","1980-02-07T00:00:00"
"95","203","2","2","1980-02-07T00:00:00"
"95","204","2","2","1980-02-07T00:00:00"
"95","205","2","2","1980-02-07T00:00:00"
"106","206","2","3","1980-02-21T00:00:00"
"106","207","2","3","1980-02-21T00:00:00"
"208","209","2","3","1980-02-21T00:00:00"
"210","211","2","3","1980-02-21T00:00:00"
"210","212","2","3","1980-02-21T00:00:00"
"213","214","2","3","1980-02-21T00:00:00"
"213","215","2","3","1980-02-21T00:00:00"
"213","216","2","3","1980-02-21T00:00:00"
"52","217","2","3","1980-02-21T00:00:00"
"41","218","2","3","1980-02-21T00:00:00"
"219","220","2","3","1980-02-21T00:00:00"
"219","221","2","3","1980-02-21T00:00:00"
"219","222","2","3","1980-02-21T00:00:00"
"219","223","2","3","1980-02-21T00:00:00"
"219","224","2","3","1980-02-21T00:00:00"
"225","226","2","3","1980-02-21T00:00:00"
"225","227","2","3","1980-02-21T00:00:00"
"225","228","2","3","1980-02-21T00:00:00"
"225","229","2","3","1980-02-21T00:00:00"
"230","231","2","3","1980-02-21T00:00:00"
"230","232","2","3","1980-02-21T00:00:00"
"1","233","2","3","1980-02-21T00:00:00"
"1","234","2","3","1980-02-21T00:00:00"
"1","235","2","3","1980-02-21T00:00:00"
"23","52","2","3","1980-02-21T00:00:00"
