"source","target","vol","no","timeset"
1,2,1,1,1
3,4,1,1,2
5,6,1,1,3
7,8,1,1,4
9,10,1,1,5
11,12,1,1,6
13,14,1,1,7
15,16,1,1,8
17,18,1,1,9
19,20,1,1,10
21,22,1,2,11
23,24,1,2,12
25,26,1,2,13
27,28,1,2,14
29,30,1,2,15
29,31,1,2,16
29,32,1,2,17
29,33,1,2,18
34,35,1,2,19
36,37,1,2,20
38,39,1,2,21
38,40,1,2,22
41,42,1,2,23
43,44,1,2,24
45,46,1,2,25
45,47,1,2,26
45,48,1,2,27
45,49,1,2,28
50,51,1,2,29
52,53,1,3,30
54,55,1,3,31
56,57,1,3,32
58,59,1,3,33
60,61,1,3,34
62,63,1,3,35
64,65,1,3,36
66,67,1,3,37
68,69,1,3,38
70,49,1,3,39
71,72,1,3,40
71,73,1,3,41
71,74,1,3,42
71,75,1,3,43
76,77,1,4,44
7,78,1,4,45
7,79,1,4,46
52,80,1,4,47
81,82,1,4,48
83,84,1,4,49
85,86,1,4,50
21,87,1,4,51
23,88,1,4,52
89,90,1,4,53
91,92,1,4,54
91,93,1,4,55
91,94,1,4,56
95,96,1,4,57
97,98,1,4,58
97,99,1,4,59
97,100,1,4,60
97,23,1,4,61
97,101,1,4,62
102,103,1,5,63
104,105,1,5,64
106,107,1,5,65
106,108,1,5,66
109,110,1,5,67
111,112,1,5,68
113,114,1,5,69
115,116,1,5,70
117,118,1,5,71
119,120,1,5,72
36,121,1,5,73
36,122,1,5,74
36,123,1,5,75
36,124,1,5,76
125,126,1,5,77
76,127,1,5,78
76,128,1,5,79
5,7,2,1,80
129,130,2,1,81
131,132,2,1,82
105,133,2,1,83
86,134,2,1,84
7,135,2,1,85
7,136,2,1,86
7,137,2,1,87
13,138,2,1,88
38,139,2,1,89
54,140,2,1,90
141,142,2,1,91
141,143,2,1,92
144,145,2,1,93
144,146,2,1,94
56,147,2,1,95
71,148,2,1,96
71,149,2,1,97
71,150,2,1,98
71,151,2,1,99
99,152,2,1,100
99,153,2,1,101
99,154,2,1,102
99,155,2,1,103
156,157,2,1,104
158,159,2,1,105
160,161,2,1,106
160,162,2,1,107
163,164,2,1,108
163,165,2,1,109
163,166,2,1,110
167,168,2,1,111
7,169,2,2,112
170,171,2,2,113
17,172,2,2,114
173,174,2,2,115
175,176,2,2,116
34,177,2,2,117
178,179,2,2,118
178,180,2,2,119
178,181,2,2,120
178,182,2,2,121
89,183,2,2,122
184,185,2,2,123
186,187,2,2,124
188,189,2,2,125
190,191,2,2,126
190,192,2,2,127
190,193,2,2,128
194,195,2,2,129
194,196,2,2,130
197,198,2,2,131
199,200,2,2,132
95,201,2,2,133
95,202,2,2,134
95,203,2,2,135
95,204,2,2,136
95,205,2,2,137
106,206,2,3,138
106,207,2,3,139
208,209,2,3,140
210,211,2,3,141
210,212,2,3,142
213,214,2,3,143
213,215,2,3,144
213,216,2,3,145
52,217,2,3,146
41,218,2,3,147
219,220,2,3,148
219,221,2,3,149
219,222,2,3,150
219,223,2,3,151
219,224,2,3,152
225,226,2,3,153
225,227,2,3,154
225,228,2,3,155
225,229,2,3,156
230,231,2,3,157
230,232,2,3,158
1,233,2,3,159
1,234,2,3,160
1,235,2,3,161
23,52,2,3,162
23,52,2,3,163
23,52,2,3,164
236,237,2,3,165
238,239,2,3,166
238,240,2,3,167
238,241,2,3,168
238,242,2,3,169
243,244,2,3,170
243,245,2,3,171
243,246,2,3,172
243,247,2,3,173
243,248,2,3,174
243,249,2,3,175
243,250,2,3,176
251,252,2,3,177
251,253,2,3,178
251,254,2,3,179
255,256,2,3,180
255,257,2,3,181
258,259,2,3,182
260,261,2,3,183
260,262,2,3,184
263,264,2,3,185
265,266,2,4,186
58,267,2,4,187
268,269,2,4,188
268,270,2,4,189
21,271,2,4,190
43,272,2,4,191
178,273,2,4,192
178,274,2,4,193
71,275,2,4,194
71,276,2,4,195
71,277,2,4,196
71,278,2,4,197
279,280,2,4,198
13,281,2,4,199
282,283,2,5,200
282,284,2,5,201
285,199,2,5,202
286,287,2,5,203
22,288,2,5,204
289,290,2,5,205
289,291,2,5,206
289,292,2,5,207
293,294,2,5,208
293,295,2,5,209
66,296,2,5,210
297,298,2,5,211
36,299,2,5,212
36,300,2,5,213
36,301,2,5,214
36,302,2,5,215
36,303,2,5,216
43,304,2,5,217
76,305,2,6,218
173,306,2,6,219
307,308,2,6,220
199,309,2,6,221
35,310,2,6,222
311,312,2,6,223
178,313,2,6,224
178,314,2,6,225
178,315,2,6,226
178,316,2,6,227
317,318,2,6,228
317,319,2,6,229
320,321,2,6,230
17,322,2,6,231
5,323,2,7,232
324,325,2,7,233
81,326,2,7,234
119,327,2,7,235
119,328,2,7,236
119,329,2,7,237
54,330,2,7,238
104,331,2,7,239
104,332,2,7,240
333,334,2,7,241
335,336,2,7,242
3,337,2,7,243
338,339,2,7,244
340,341,2,7,245
340,342,2,7,246
343,344,2,7,247
71,345,2,7,248
71,346,2,7,249
71,347,2,7,250
71,348,2,7,251
71,349,2,7,252
350,351,2,7,253
350,351,2,7,254
352,353,2,7,255
354,355,2,8,256
36,356,2,8,257
52,357,2,8,258
58,358,2,8,259
58,358,2,8,260
359,360,2,8,261
102,361,2,8,262
102,362,2,8,263
260,363,2,8,264
260,364,2,8,265
260,365,2,8,266
260,366,2,8,267
13,367,2,8,268
368,369,2,8,269
368,370,2,8,270
368,371,2,8,271
368,372,2,8,272
368,373,2,8,273
368,374,2,8,274
375,376,2,8,275
377,378,2,8,276
377,379,2,8,277
377,380,2,8,278
377,381,2,8,279
377,382,2,8,280
377,383,2,8,281
377,384,2,8,282
236,385,2,8,283
236,386,2,8,284
7,387,2,9,285
7,197,2,9,286
111,388,2,9,287
111,389,2,9,288
390,391,2,9,289
392,393,2,9,290
38,394,2,9,291
38,395,2,9,292
396,397,2,9,293
398,399,2,9,294
86,400,2,9,295
211,401,2,9,296
211,402,2,9,297
