"id","label"
"1","John Bayley"
"2","William Golding"
"3","Karl Miller"
"4","V.S. Naipaul"
"5","William Empson"
"6","Harold Brooks"
"7","Frank Kermode"
"8","J.F.C. Harrison"
"9","Stuart Hampshire"
"10","Mary Midgley"
"11","Emma Rothschild"
"12","Jacques Attali"
"13","Rosalind Mitchison"
"14","Patricia James"
"15","Michael Holroyd"
"16","Jeanne Mackenzie"
"17","Dan Jacobson"
"18","James Boulton"
"19","Randolph Quirk"
"20","P. Hanks, T.H. Long and L. Urdang"
"21","Christopher Ricks"
"22","Seamus Heaney"
"23","D.J. Enright"
"24","John McGahern"
"25","A.B. Cooke"
"26","Patrick Buckland"
"27","John Vincent"
"28","Lewis Chester, Magnus Linklater and David May"
"29","Phillip Whitehead"
"30","Tony Benn"
"31","Evan Luard"
"32","Austin Mitchell"
"33","Paul McCormick"
"34","Valerie Pearl"
"35","Antonia Fraser"
"36","Robert Taubman"
"37","Patrick White"
"38","John Sutherland"
"39","Frederick Forsyth"
"40","Stephen Sheppard"
"41","Jane Miller"
"42","Christina Stead"
"43","Ian Hamilton"
"44","C.P. Snow"
"45","Patricia Beer"
"46","Gillian Tindall"
"47","Margaret Forster"
"48","Penelope Lively"
"49","Emma Tennant"
"50","Nicholas Mosley"
"51","Ronald Segal"
"52","Brigid Brophy"
"53","Germaine Greer"
"54","Hugh Lloyd-Jones"
"55","Richard Perceval Graves"
"56","J.Z. Young"
"57","Carl Sagan"
"58","Bernard Williams"
"59","Gilbert Ryle, edited by Konstantin Kolenda"
"60","George Steiner"
"61","Louis Kelly"
"62","John Sturrock"
"63","Sherry Turkle"
"64","Bruce Chatwin"
"65","Wilfred Thesiger"
"66","James Fox"
"67","Richard Ingrams"
"68","A.J. Ayer"
"69","Philip Williams"
"70","Eric Korn"
"71","Michael Irwin"
"72","Jennifer Johnston"
"73","Diana Melly"
"74","Valerie Kershaw"
"75","Bernice Rubens"
"76","Clive James"
"77","Bernard Levin"
"78","Simon Karlinsky"
"79","Peter Quennell"
"80","R.W. Chapman"
"81","Nicholas Humphrey"
"82","Gregory Bateson"
"83","Chauncey Loomis"
"84","Roland Huntford"
"85","Paul Addison"
"86","Kenneth O. Morgan"
"87","Brian Moore"
"88","Alan Sillitoe"
"89","Michael Mason"
"90","Philip Roth"
"91","Zachary Leader"
"92","Steven Millhauser"
"93","Oliver Pritchett"
"94","Derwent May"
"95","Douglas Johnson"
"96","F.W.J. Hemmings"
"97","James Fenton"
"98","Craig Raine"
"99","Christopher Reid"
"100","Hugo Williams"
"101","Yehuda Amichai"
"102","Simon Schama"
"103","Robert Darnton"
"104","Alasdair MacIntyre"
"105","John Dunn"
"106","Roger Poole"
"107","Francis Mulhern"
"108","R.P. Bilan"
"109","Alan Bennett"
"110","John Gielgud"
"111","Peter Jenkins"
"112","Harold Wilson"
"113","Christopher Serpell"
"114","Henry Kissinger"
"115","Richard Poirier"
"116","David Halberstam"
"117","Peter Medawar"
"118","Gwyn Macfarlane"
"119","Gabriel Josipovici"
"120","William Byron"
"121","Doris Lessing"
"122","Robin Jenkins"
"123","Piers Paul Read"
"124","Sean O’Faolain"
"125","Ralf Dahrendorf"
"126","Jilly Cooper"
"127","Charles Johnston"
"128","Alexander Pushkin, translated by Charles Johnston"
"129","James Lighthill"
"130","Douglas Hofstadter"
"131","Tom Nairn"
"132","Hugh Thomas"
